"commune","code_INSEE","surface_parcourue_m2","annee","mois","jour","heure","nature_inc_prim","nature_inc_sec"
"Pouzols-Minervois","11296",50714,2014,"May",30,12,"Involontaire","particulier"
"Barrettali","2B030",196367,2014,"May",24,16,"Malveillance",NA
"Ogliastro","2B183",305959,2014,"Jun",4,13,"Malveillance",NA
"Salses-le-Château","66190",60000,2014,"Jun",14,16,"Involontaire","particulier"
"Belgodère","2B034",184082,2014,"Jun",20,16,"Involontaire","travaux"
"Saint-Laurent-de-la-Cabrerisse","11351",57902,2014,"Jun",29,14,"Involontaire","particulier"
"Santo-Pietro-di-Tenda","2B314",683810,2014,"Jul",3,15,"Involontaire","travaux"
"Santo-Pietro-di-Tenda","2B314",352974,2014,"Jul",5,14,"Involontaire","travaux"
"Murviel-lès-Béziers","34178",77000,2014,"May",14,14,"Involontaire","particulier"
"Bassan","34025",51000,2014,"May",29,16,"Involontaire","travaux"
"Sartène","2A272",90000,2014,"Jun",28,14,"Involontaire","travaux"
"Calcatoggio","2A048",280000,2014,"Jun",28,14,"Malveillance",NA
"Biguglia","2B037",140500,2014,"Jul",22,13,"Involontaire","particulier"
"Siran","34302",122700,2014,"Aug",1,16,"Malveillance",NA
"Thueyts","7322",60000,2014,"Mar",12,16,"Malveillance",NA
"Morsiglia","2B170",60000,2014,"Mar",10,12,"Malveillance",NA
"Santa-Reparata-di-Balagna","2B316",95770,2014,"Aug",15,8,"Malveillance",NA
"Gigean","34113",365000,2014,"Jul",31,16,"Involontaire","particulier"
"Aizac","7003",50000,2014,"Mar",13,14,"Involontaire","particulier"
"Juvignac","34123",605000,2014,"May",13,11,"Involontaire","particulier"
"Sari-Solenzara","2A269",330000,2014,"Aug",15,16,"Involontaire","particulier"
"Villeveyrac","34341",68000,2014,"Aug",23,21,"Malveillance",NA
"Solaro","2B283",304678,2014,"Aug",15,16,"Involontaire","particulier"
"Siran","34302",195800,2014,"Aug",29,12,"Malveillance",NA
"Grabels","34116",70000,2014,"Aug",28,17,"Malveillance",NA
"Cessenon-sur-Orb","34074",230000,2014,"Aug",27,12,"Involontaire","particulier"
"Ghisonaccia","2B123",847798,2014,"Aug",15,16,"Malveillance",NA
"Mouthoumet","11260",50700,2014,"Sep",1,14,"Malveillance",NA
"Tressan","34313",52000,2014,"Sep",6,15,"Involontaire","particulier"
"Calcatoggio","2A048",61000,2014,"Aug",30,13,"Malveillance",NA
"Lecci","2A139",930000,2014,"Sep",1,2,"Malveillance",NA
"Castello-di-Rostino","2B079",174142,2014,"Sep",13,11,"Malveillance",NA
"Millas","66108",200000,2014,"Sep",17,17,"Involontaire","travaux"
"Quarante","34226",130000,2014,"Sep",26,13,"Involontaire","particulier"
"Quenza","2A254",160000,2014,"Sep",27,12,"Malveillance",NA
"Ajaccio","2A004",109000,2014,"Sep",28,18,"Malveillance",NA
"Calenzana","2B049",69664,2014,"Oct",5,18,"Malveillance",NA
"Sorio","2B287",98454,2014,"Oct",10,12,"Malveillance",NA
"Saint-Andéol-de-Vals","7210",300000,2014,"Mar",19,11,"Involontaire","travaux"
"Puisserguier","34225",58000,2014,"Oct",24,3,"Malveillance",NA
"Estavar","66072",100000,2014,"Mar",19,15,"Involontaire","travaux"
"Saorge","6132",78900,2014,"Dec",29,5,"Malveillance",NA
"Belvédère","6013",77400,2014,"Mar",19,15,"Malveillance",NA
"Saint-Maurice-de-Ventalon","48172",172000,2014,"Mar",18,14,"Involontaire","travaux"
"Cabrières","34045",75000,2014,"Mar",8,16,"Involontaire","travaux"
"Oupia","34190",77800,2014,"Mar",15,20,"Malveillance",NA
"Entraygues-sur-Truyère","12094",60000,2015,"Feb",10,14,"Involontaire","particulier"
"Saint-Hippolyte","12226",50000,2015,"Mar",11,13,"Involontaire","particulier"
"Cernon","39086",50000,2015,"Apr",12,13,"Accidentelle",NA
"Albi","81004",110000,2015,"Jul",3,13,"Naturelle",NA
"Saint-Maurice-la-Fougereuse","79280",208000,2015,"Jul",11,18,"Involontaire","travaux"
"Argentine","73019",190000,2015,"Apr",9,16,"Involontaire","travaux"
"Lay-Saint-Christophe","54305",120000,2015,"Apr",19,13,"Malveillance",NA
"Saizerais","54490",270000,2015,"Jul",23,15,"Involontaire","travaux"
"Massais","79168",140300,2015,"Aug",19,12,"Involontaire","travaux"
"Chevillon-sur-Huillard","45092",110000,2015,"Aug",2,18,"Malveillance",NA
"Liffré","35152",60000,2015,"Mar",23,14,"Involontaire","travaux"
"Andelaroche","3004",281000,2015,"Jul",16,15,"Involontaire","travaux"
"Queige","73211",150000,2015,"Jul",7,12,"Malveillance",NA
"Saint-Philippe","97417",164000,2015,"Oct",23,12,"Naturelle",NA
"Le Bignon-Mirabeau","45032",310000,2015,"Jul",16,14,"Involontaire","travaux"
"Arfeuilles","3006",50000,2015,"Jul",17,17,"Involontaire","particulier"
"Saint-Angel","3217",91300,2015,"Jul",21,15,"Involontaire","travaux"
"Naujac-sur-Mer","33300",190000,2015,"Jul",25,16,"Malveillance",NA
"Saint-Jean-d'Illac","33422",67000,2015,"Apr",25,9,"Accidentelle",NA
"Léognan","33238",70000,2015,"Apr",11,6,"Accidentelle",NA
"Lanton","33229",50000,2015,"Jul",2,7,"Naturelle",NA
"Castelnau-de-Médoc","33104",680000,2015,"Mar",17,16,"Accidentelle",NA
"Ychoux","40332",90000,2015,"Jul",28,14,"Involontaire","particulier"
"Luxey","40167",220000,2015,"Apr",30,16,"Involontaire","travaux"
"Lencouacq","40149",58000,2015,"Apr",15,12,"Involontaire","particulier"
"Châtillon-sur-Cher","41043",70000,2015,"Jul",1,14,"Naturelle",NA
"Maves","41130",110000,2015,"Jul",16,16,"Naturelle",NA
"Rahart","41186",50000,2015,"Jul",22,14,"Naturelle",NA
"Fontaine-les-Coteaux","41087",80000,2015,"Jul",10,12,"Naturelle",NA
"Véranne","42326",230000,2015,"Aug",31,13,"Malveillance",NA
"Ghisonaccia","2B123",103518,2015,"Jun",3,14,"Involontaire","particulier"
"Gruissan","11170",105836,2015,"Jun",7,15,"Involontaire","particulier"
"Tallone","2B320",322164,2015,"Jun",14,14,"Malveillance",NA
"Saint-Privat","34286",184500,2015,"Jun",28,15,"Involontaire","particulier"
"Vailhan","34319",710000,2015,"Jul",2,11,"Involontaire","particulier"
"Oletta","2B185",230000,2015,"Jul",1,11,"Malveillance",NA
"Pancheraccia","2B201",62321,2015,"Jul",2,12,"Involontaire","travaux"
"Toulaud","7323",151000,2015,"Jul",7,2,"Malveillance",NA
"Rieux-Minervois","11315",85400,2015,"Jun",27,10,"Malveillance",NA
"Talairan","11386",54934,2015,"Jul",8,4,"Malveillance",NA
"Linguizzetta","2B143",100350,2015,"Jul",7,13,"Malveillance",NA
"Alzonne","11009",163000,2015,"Jul",10,15,"Involontaire","travaux"
"Saint-Julien-Vocance","7258",50000,2015,"Jul",14,22,"Malveillance",NA
"Sorgues","84129",250000,2015,"Jul",12,18,"Malveillance",NA
"Castello-di-Rostino","2B079",125400,2015,"Jul",10,12,"Malveillance",NA
"Moussoulens","11259",299200,2015,"Jul",13,14,"Involontaire","particulier"
"Canavaggia","2B059",52292,2015,"Jul",19,16,"Malveillance",NA
"Saint-May","26318",60000,2015,"Jul",11,14,"Involontaire","particulier"
"Fontès","34103",86200,2015,"Jul",12,2,"Malveillance",NA
"Agde","34003",70000,2015,"Jul",19,18,"Involontaire","particulier"
"Avène","34019",60150,2015,"Jul",20,12,"Involontaire","travaux"
"Neffiès","34181",92500,2015,"Feb",23,16,"Malveillance",NA
"Corscia","2B095",113588,2015,"Jul",28,1,"Malveillance",NA
"Speloncato","2B290",488130,2015,"Jul",25,22,"Malveillance",NA
"Oletta","2B185",78800,2015,"Jul",27,11,"Malveillance",NA
"Zilia","2B361",322405,2015,"Jul",30,10,"Accidentelle",NA
"Roujan","34237",78000,2015,"Jul",25,12,"Accidentelle",NA
"Saint-André-de-Valborgne","30231",934600,2015,"Jul",30,15,"Malveillance",NA
"Quézac","48122",56500,2015,"Jul",1,8,"Involontaire","travaux"
"Hures-la-Parade","48074",161000,2015,"Jul",31,15,"Involontaire","travaux"
"Saint-Bauzille-de-Montmel","34242",590000,2015,"Aug",8,14,"Accidentelle",NA
"Fréjus","83061",167300,2015,"Jul",27,13,"Malveillance",NA
"Felluns","66076",50000,2015,"Jun",25,16,"Involontaire","particulier"
"Tautavel","66205",80000,2015,"Jul",14,16,"Malveillance",NA
"Trévillach","66215",350000,2015,"Jul",20,16,"Malveillance",NA
"Corneilla-la-Rivière","66058",270000,2015,"Jul",21,11,"Accidentelle",NA
"Perpignan","66136",50000,2015,"Jul",28,17,"Malveillance",NA
"Tautavel","66205",60000,2015,"Jul",29,17,"Malveillance",NA
"Villelaure","84147",70000,2015,"Aug",6,19,"Involontaire","particulier"
"Castifao","2B080",56360,2015,"Aug",8,15,"Malveillance",NA
"Siran","34302",185000,2015,"Aug",12,13,"Malveillance",NA
"Calce","66030",82600,2015,"Aug",19,14,"Malveillance",NA
"Aubagne","13005",92700,2015,"Aug",17,16,"Malveillance",NA
"Bilia","2A038",50400,2015,"Aug",7,13,"Malveillance",NA
"Trévillach","66215",200000,2015,"Aug",20,13,"Malveillance",NA
"Azillanet","34020",61000,2015,"Aug",19,18,"Malveillance",NA
"Venaco","2B341",480000,2015,"Aug",17,14,"Involontaire","particulier"
"Argelès-sur-Mer","66008",141500,2015,"Jun",26,18,"Accidentelle",NA
"Laure-Minervois","11198",58800,2015,"Aug",18,19,"Accidentelle",NA
"Azille","11022",250700,2015,"Aug",26,15,"Malveillance",NA
"Opoul-Périllos","66127",80000,2015,"Sep",1,23,"Involontaire","particulier"
"Volpajola","2B355",194784,2015,"Sep",5,13,"Malveillance",NA
"Arquettes-en-Val","11016",187100,2015,"Sep",11,12,"Malveillance",NA
"Baixas","66014",80000,2015,"Mar",13,12,"Involontaire","travaux"
"Alzon","30009",90800,2015,"Mar",7,7,"Involontaire","travaux"
"Alzon","30009",61500,2015,"Mar",9,19,"Involontaire","travaux"
"Corte","2B096",115000,2015,"Sep",26,16,"Malveillance",NA
"Arzens","11018",52900,2015,"Sep",25,16,"Malveillance",NA
"La Brigue","6162",217500,2015,"Mar",12,9,"Involontaire","travaux"
"Peyriac-de-Mer","11285",55873,2015,"Oct",16,14,"Accidentelle",NA
"Paziols","11276",50802,2015,"Oct",16,15,"Involontaire","travaux"
"Villespassans","34339",121500,2015,"Jan",11,14,"Malveillance",NA
"Labastide-sur-Bésorgues","7112",380000,2015,"Nov",20,13,"Involontaire","particulier"
"Bastelica","2A031",339000,2015,"Aug",30,12,"Malveillance",NA
"Le Pont-de-Montvert","48116",648000,2015,"Mar",11,12,"Involontaire","travaux"
"Bédouès","48022",138000,2015,"Mar",9,13,"Involontaire","travaux"
"Saint-Pierre","4194",204800,2015,"Apr",1,12,"Involontaire","particulier"
"Lantosque","6074",178700,2015,"Apr",2,12,"Malveillance",NA
"Roquebillière","6103",387400,2015,"Apr",3,17,"Malveillance",NA
"Saint-Pierreville","7286",300000,2015,"Apr",10,11,"Involontaire","travaux"
"Valle-di-Rostino","2B337",53361,2015,"Apr",13,13,"Involontaire","travaux"
"Lantosque","6074",73100,2015,"Jan",4,12,"Malveillance",NA
"Lantosque","6074",82100,2015,"Jan",12,18,"Malveillance",NA
"Saorge","6132",89200,2015,"Apr",11,14,"Malveillance",NA
"Breil-sur-Roya","6023",59500,2015,"Apr",11,15,"Malveillance",NA
"Roquebillière","6103",102300,2015,"Apr",15,13,"Malveillance",NA
"Die","26113",73000,2015,"Mar",13,13,"Involontaire","particulier"
"Murasson","12163",200000,2016,"Feb",21,18,"Malveillance",NA
"Couvertoirade (La)","12082",70000,2016,"Jul",19,9,"Involontaire","travaux"
"Conques-en-Rouergue","12076",50000,2016,"Aug",15,16,"Accidentelle",NA
"Marcilhac-sur-Célé","46183",220000,2016,"Aug",16,21,"Naturelle",NA
"Saint-Laurent","18219",93300,2016,"Aug",11,16,"Accidentelle",NA
"Caucalières","81066",800000,2016,"Sep",5,15,"Accidentelle",NA
"Colméry","58081",80000,2016,"Aug",30,12,"Malveillance",NA
"Bedenac","17038",104100,2016,"Aug",16,18,"Malveillance",NA
"Bussac-Forêt","17074",52600,2016,"Sep",12,15,"Malveillance",NA
"Clérac","17110",220000,2016,"Sep",12,16,"Malveillance",NA
"Saint-Caprais-de-Lerm","47234",50050,2016,"Sep",13,19,"Involontaire","travaux"
