"code_INSEE","latitude","longitude","altitude_med"
"6098",44.0056,6.9333,860
"2B159",42.9179,9.4319,278
"2B313",42.3687,9.5069,14
"34004",43.3498,2.8544,219
"34166",43.3775,3.3569,15
"66143",42.7736,2.6215,167
"66140",42.7089,2.76,110
"11308",43.2802,2.1614,134
"11273",43.2561,2.8133,80
"11099",43.2815,2.38,120
"83069",43.1139,6.2357,6
"83064",43.3397,6.0426,189
"13026",43.3905,5.1465,9
"13056",43.3839,5.0451,12
"66180",42.8073,2.9993,3
"66071",42.7642,2.7077,182
"11144",42.8992,2.9572,42
"48004",44.457,3.8559,900
"34145",43.678,4.1329,10
"34163",43.648,3.7053,100
"11390",43.0947,2.7918,85
"34148",43.3733,3.154,26
"2B009",42.0993,9.4972,41
"66106",42.4635,2.7999,565
"30181",43.9062,4.121,108
"30141",44.1051,4.6615,43
"11162",43.211,1.9309,302
"34285",43.5102,3.5136,22
"66164",42.7761,2.8769,42
"66212",42.757,3.0059,7
"11148",43.1693,2.6904,56
"11361",43.3376,2.0437,180
"13118",43.5587,5.2559,198
"13097",43.6074,4.8688,12
"2B105",42.252,9.2642,179
"2B238",42.269,9.2048,350
"2B148",42.5393,9.465,37
"2B116",42.2472,9.2856,179
"84030",44.11,5.1078,98
"34073",43.3314,3.3176,15
"11286",43.2951,2.5714,125
"11410",43.2507,2.4191,120
"34291",43.558,2.8693,955
"2B299",42.4173,9.4266,185
"34055",43.6771,2.95,424
"2B140",42.5259,9.2642,480
"7018",44.6841,4.0211,1230
"66192",42.5166,2.1461,1151
"5164",44.53,6.395,765
"4193",44.5647,6.8188,1908
"30154",44.0257,3.6275,485
"30169",43.7831,4.3081,24
"6049",43.7514,7.0196,985
"43171",45.0271,3.6261,985
"73235",45.3959,6.3554,460
"12168",44.0204,3.2887,794
"43155",45.025,3.5972,985
"81163",43.4666,2.3863,718
"16061",45.7329,0.2623,161
"16255",45.9264,0.4221,162
"45015",48.2786,2.0961,127
"97410",-21.0887,55.6312,850
"31573",43.6579,1.6792,118
"31085",42.9169,0.7722,800
"31222",42.8501,0.644,500
"15156",44.8272,2.4647,762
"15113",45.0775,2.6649,1060
"97415",-21.0366,55.3402,1200
"24465",45.0977,0.2714,120
"65045",42.986,-0.1986,1105
"2A019",42.123,8.7958,414
"6146",43.942,7.1596,630
"2A041",41.4217,9.1973,107
"6077",43.8997,7.3506,1420
"5038",44.7617,6.811,1825
"26354",44.7318,5.5412,1010
"7141",44.6071,4.2948,360
"48165",44.6001,3.1752,1150
"48020",44.1627,3.6013,1042
"30190",44.05,3.7,367
"13039",43.4546,4.8979,1
"6157",43.7373,7.0995,299
"34183",43.282,3.1051,33
"34135",43.2737,3.1689,37
"13098",43.4565,5.0152,4
"83101",43.2115,6.6449,31
"4020",44.2815,6.2532,886
"5101",44.8646,6.4333,1270
"34214",43.478,3.2727,73
"5108",44.5667,6.4129,873
"66053",42.5087,3.0744,72
"34031",43.3566,3.4141,20
"34013",43.5654,3.4499,40
"4160",43.8884,5.6565,455
"48100",44.5992,3.7182,1080
"6050",43.7898,7.0384,985
"2A103",41.9776,8.884,600
"2A198",42.2537,8.7362,28
"2A323",42.0327,8.8873,433
"6156",44.0412,7.2386,1130
"2A215",41.5209,9.0456,100
"13072",43.4375,5.6204,201
"6034",43.79,7.2298,78
"6130",43.6994,6.8516,708
"30189",43.8322,4.3429,39
"30351",43.9776,4.792,20
"4218",44.1019,6.4854,968
"66138",42.7484,2.8471,42
"66024",42.5267,2.8328,148
"13047",43.5455,4.9476,1
"26022",44.2476,5.6478,660
"2A249",41.651,8.89,5
"2A017",41.9965,8.7311,317
"2A001",41.981,8.7975,235
"66130",42.3923,2.0006,1446
"66003",42.4508,2.687,252
"83119",43.2619,6.6638,31
"13077",43.4207,4.9993,4
"30081",44.1549,4.6902,63
"6101",43.9942,6.976,860
"30258",43.6606,4.4128,94
"2B277",41.9668,9.3353,198
"7251",44.7515,4.4147,500
"34076",43.6512,3.4628,110
"4024",44.2144,6.3714,920
"2B039",42.4816,9.3137,499
"4171",43.7866,6.3951,1110
"84084",43.7817,5.5237,250
"84050",43.9074,5.204,488
"2B292",42.2767,9.2792,179
"13073",43.3834,5.57,201
"34096",43.5665,3.174,184
"7086",45.094,4.7381,160
"26116",44.4347,4.71,90
"2A345",42.0576,8.9198,291
"13055",43.2803,5.3806,1
"2B301",42.6448,9.1688,480
"83142",43.7365,6.438,884
"34211",43.5848,3.0528,190
"6066",43.8436,7.1602,723
"34213",43.4976,3.6623,34
"4008",43.9631,6.6631,705
"4148",43.8168,6.6495,967
"48008",44.6598,3.608,1300
"4120",44.43,6.8559,1700
"30085",43.9493,4.4719,135
"7139",44.761,4.3338,428
"13038",43.7278,4.7128,10
"4139",44.1644,5.8078,520
"26123",44.4988,5.4415,1017
"48130",44.1942,3.5697,812
"48096",44.1723,3.4644,1054
"66066",42.491,1.8922,1446
"66011",42.6075,2.8893,13
"43082",45.0756,3.3572,1015
"46176",44.6516,1.8483,405
"23062",46.3528,1.8222,397
"12025",43.8248,2.7517,345
"12228",43.9701,2.7006,266
"40243",43.9318,-0.9436,77
"47215",44.3687,0.7006,50
"7012",44.8963,4.3184,450
"83059",43.3357,6.0884,189
"2B055",42.5272,9.3279,484
"30042",44.0508,4.0282,132
"34232",43.5065,2.9978,130
"34036",43.6985,3.3896,110
"2A284",41.742,8.876,33
"13071",43.4005,5.3222,209
"34121",43.7691,3.1834,390
"48115",44.2062,3.6636,750
"2B318",42.4336,9.5006,16
"34332",43.3089,3.3948,15
"66228",42.7046,2.7964,80
"48162",44.3,3.6667,903
"66065",42.6083,2.9781,13
"34200",43.6002,3.2444,389
"6062",44.0213,7.5527,425
"38140",45.2816,5.8853,970
"39557",46.3547,5.6105,320
"39478",46.4098,5.8802,1156
"39289",46.3917,5.6687,320
"43012",45.3668,4.2034,600
"21037",46.989,4.7299,425
"65428",42.9651,-0.1558,1105
"65032",42.9089,-0.2517,1105
"55574",48.4888,5.6165,256
"39377",47.2844,5.5322,305
"21694",47.4487,4.5267,340
"21309",47.8759,4.3649,195
"52205",48.0234,5.1632,335
"49154",47.3333,-0.35,75
"49180",47.3961,-0.1092,35
"58087",46.7556,3.511,236
"31334",43.3772,1.3028,200
"31451",43.4679,1.9975,320
"81016",43.4193,2.1865,630
"23067",45.7315,2.2429,772
"58226",47.3251,4.0917,525
"12090",44.3782,2.4721,590
"79153",46.0748,-0.0792,106
"50403",49.1641,-1.5561,7
"3055",46.428,2.5114,370
"64255",43.3842,-1.4089,135
"64276",43.0892,-0.6566,260
"64124",43.2682,-1.353,135
"64504",43.2968,-1.5822,180
"64477",43.1792,-1.3543,252
"64342",43.0582,-0.8836,216
"64218",43.0772,-1.1763,292
"64298",43.0733,-0.9607,1327
"24222",44.8799,0.358,79
"24218",45.5032,1.0874,324
"33498",44.536,-0.8899,7
"33251",44.5104,-0.5691,75
"47186",44.2093,0.4528,148
"38294",45.6772,5.1902,250
"1037",45.842,5.4834,944
"41275",47.9185,1.0977,85
"41041",47.9833,1.0443,206
"41250",47.7812,0.7231,113
"41248",48.0573,0.894,172
"41088",47.9749,1.1324,95
"4074",44.0398,6.2732,600
"7077",44.6597,4.5216,740
"34007",43.3503,2.8231,124
"6148",43.718,7.0353,44
"2B002",42.0934,9.4064,61
"34093",43.6699,3.2199,439
"2B050",42.5498,8.7611,295
"13117",43.4509,5.2655,9
"83003",43.6218,6.3683,892
"83082",43.6336,6.4774,892
"4045",43.853,5.5883,350
"83137",43.1364,5.9334,3
"34095",43.5312,3.7737,34
"4004",43.7921,6.0257,450
"48065",44.207,3.5362,1028
"83153",43.0759,5.9273,3
"34015",43.3997,2.8864,258
"34268",43.7077,3.4304,110
"66156",42.7265,2.3646,500
"4113",44.1287,6.2818,595
"84035",43.8485,5.0333,65
"34056",43.436,3.4718,20
"5123",44.59,5.9596,1249
"30093",43.9369,3.9032,160
"83107",43.4282,6.6526,7
"13103",43.643,5.049,89
"13106",43.3931,5.3828,209
"2B222",42.3756,9.3404,822
"34329",43.2569,3.2305,12
"34017",43.4632,3.4695,22
"34205",43.7619,3.2712,846
"26300",44.5133,5.4847,1017
"34308",43.6339,3.0766,192
"2A326",41.9678,8.9674,698
"66134",42.5674,2.804,148
"66182",42.7262,3.0167,7
"34210",43.5919,3.5184,46
"84089",43.6931,5.5345,250
"4144",43.801,6.323,1110
"66168",42.5541,2.9794,28
"66224",42.7261,2.977,7
"7098",44.7328,4.4646,737
"6070",43.8037,6.9296,985
"4204",43.9229,6.3645,1110
"7121",44.8121,4.0241,1056
"48198",44.4429,3.9293,900
"48015",44.4839,3.9685,803
"48061",44.3189,3.6268,903
"43246",45.2875,4.0154,603
"82131",44.2392,1.4738,266
"2305",49.1833,3.5126,215
"82187",44.1605,1.8858,319
"89021",47.491,3.7436,302
"58107",47.0877,3.7996,300
"46072",44.6695,1.3915,230
"43156",44.8916,4.0481,1050
"58270",47.4863,3.0344,285
"89044",47.5335,3.7628,210
"89419",47.7328,3.2882,200
"3155",46.7371,2.9111,225
"45315",47.751,2.3499,144
"45098",47.8151,1.7613,110
"77186",48.4236,2.6817,81
"87064",45.7098,1.7293,400
"97408",-20.9965,55.3918,915
"31581",43.832,1.4372,100
"79246",46.3935,-0.1384,83
"79154",46.0442,-0.0658,106
"15250",45.351,2.5175,470
"24485",45.3778,0.8158,130
"24294",45.0163,0.147,29
"64067",43.2576,-0.2878,213
"64223",42.8901,-0.5318,1074
"64559",43.2476,-0.8943,130
"40296",43.7055,-1.3939,2
"40319",44.232,-0.7015,76
"40006",44.0299,-0.7811,80
"40060",44.2743,-0.4688,89
"33029",44.6297,-0.7437,65
"33202",44.4834,-0.6616,75
"33233",45.1206,-0.3394,66
"48098",44.2151,3.691,750
"2B315",42.2472,9.1764,350
"30089",43.8489,4.5863,18
"34197",43.5763,3.4016,40
"26200",44.1722,5.644,660
"2B242",42.4009,9.5121,14
"7315",44.6258,4.1565,600
"2B224",42.8459,9.4361,354
"4094",43.7628,5.8597,359
"4199",44.1674,5.7425,660
"2B145",42.4767,9.4268,25
"2B192",42.5018,9.4139,70
"66119",42.6719,2.2848,500
"5055",44.5751,5.7378,825
"30129",44.0797,3.9941,139
"30339",44.081,3.6272,367
"2B275",42.3155,9.2637,850
"30017",43.9927,3.4806,500
"13081",43.4995,5.233,9
"2B051",42.367,9.303,822
"7115",44.4682,4.3074,107
"13033",43.3554,5.188,9
"4170",43.9097,6.875,860
"4013",44.1211,5.9542,440
"66017",42.8118,3.0281,3
"66172",42.7154,2.8445,42
"66093",42.5179,2.9314,28
"66176",42.8104,2.9754,7
"66049",42.473,2.7565,146
"66015",42.5653,2.8649,148
"2B063",42.3554,9.3593,784
"48178",44.2885,3.8341,1000
"17240",45.2859,-0.3862,96
"87150",45.6372,1.149,336
"89368",47.6358,3.196,198
"63006",45.3265,3.0104,1270
"12155",43.8574,3.1226,510
"33436",44.559,-0.6623,75
"33376",44.9343,-0.7478,27
"34040",43.6402,3.2521,439
"34092",43.3528,2.9244,219
"6163",44.0971,7.5499,1279
"48075",44.4009,3.5315,618
"48168",44.6048,3.3059,746
"84079",44.052,5.345,670
"7187",44.5957,4.255,779
"5077",44.7123,6.8975,2000
"2B213",42.3004,9.3577,680
"34206",43.304,3.0915,33
"13007",43.3594,5.6559,615
"66174",42.6733,2.7498,110
"66148",42.5034,3.1048,72
"83124",43.6326,6.6024,372
"2B150",42.58,8.8262,296
"30193",43.8679,4.2129,114
"2A006",41.9702,8.7294,317
"2B190",42.5231,9.0107,844
"66121",42.696,2.6566,103
"66012",42.7066,2.8229,42
"34328",43.5808,3.5611,50
"34180",43.5999,3.4357,145
"2A209",42.0015,8.9099,433
"6073",44.1903,7.0835,875
"2B235",42.5251,8.9696,844
"2B333",42.6003,9.3373,54
"66002",42.6413,2.9824,13
"2A200",41.9905,9.1868,928
"2B289",42.3473,9.1425,347
"2B343",42.4998,9.4885,25
"34144",43.7033,3.1951,249
"15081",44.9411,2.6605,683
"15045",44.8423,3.0057,924
"21582",46.9184,4.6929,232
"46040",44.5155,1.6216,315
"81243",44.0285,1.818,395
"81325",43.5491,2.1799,198
"81073",43.9516,2.2964,256
"15106",44.829,2.9022,1113
"58102",47.3798,3.1171,209
"58304",47.3543,3.3895,226
"46079",44.5578,1.545,364
"54244",49.0323,5.8602,239
"81027",43.4902,2.0622,615
"43157",45.0283,3.8973,620
"54156",48.387,6.1273,300
"42021",45.5124,4.1192,370
"35211",48.0327,-2.1793,74
"60182",49.6239,2.189,168
"97606",-12.9179,45.1428,25
"97603",-12.9392,45.1797,25
"27209",49.2889,0.7158,110
"97423",-21.1138,55.3377,1505
"56233",47.5831,-3.0014,9
"56054",47.6358,-3.157,9
"56132",47.7242,-2.7731,42
"56126",47.5441,-2.3599,26
"61413",48.8295,0.0933,155
"61117",48.4316,0.0319,143
"61475",48.6256,0.5561,240
"61435",48.814,0.5958,249
"61230",48.5419,0.8033,237
"61346",48.9182,0.0946,247
"61397",48.4178,0.0587,143
"61490",48.81,0.0477,155
"61040",48.6912,-0.4416,175
"61329",48.4433,0.5494,233
"61145",48.5866,-0.6554,135
"61407",48.8233,-0.4824,211
"61026",48.4737,0.3449,155
"61263",48.5043,0.1844,143
"61206",48.6032,0.7373,217
"61020",48.6734,-0.1012,171
"61092",48.7424,0.7444,216
"61460",48.8868,0.3196,225
"61447",48.8322,-0.5399,211
"61037",48.4208,0.4843,168
"61061",48.4388,0.9055,220
"61418",48.5091,0.6368,236
"61429",48.6394,0.7597,215
"61440",48.7364,0.6736,232
"61067",48.557,0.3974,200
"61461",48.8309,0.3893,297
"61240",48.6479,0.1372,176
"61024",48.6657,-0.5537,226
"61486",48.7283,-0.7337,306
"61158",48.6691,-0.2898,232
"61050",48.4567,0.6962,236
"61248",48.5124,-0.8179,147
"61309",48.3585,0.6958,233
"61421",48.5514,-0.7366,165
"61375",48.6765,0.0084,180
"61081",48.6597,0.2124,202
"61457",48.7869,0.5634,212
"61445",48.812,-0.65,170
