"Code.INSEE","RR_med","NBJRR1_med","NBJRR5_med","NBJRR10_med","Tmin_med","Tmax_med","Tens_vap_med","Force_vent_med","Insolation_med","Rayonnement_med"
"43192",43.15,7,1.5,1,6.9,16.45,8.1,4.3,3342,12824
"15095",153.8,13,8,5,4.8,15.55,9.4,2.8,3464,12519
"15205",153.8,13,8,5,4.8,15.55,7.6,4.4,3464,12519
"15187",55.7,9,3,2,3.8,13.5,8.7,2.6,3336,12135
"15029",105.6,11,6,3,8.1,18.4,9.65,3.4,3345,11451
"15229",52,8,3,1,3.7,13.8,8.3,2.1,3336,12135
"12099",64.5,9,4,2,7.5,14.8,10.6,3.3,3138,12100
"12240",78.45,10,5,3,3.7,15,9.65,3.4,3345,11451
"15038",65.5,10,5.5,2,5.5,14.8,7.3,4.7,3058,11646
"15015",90.7,11,6,3,5.9,15.45,9.4,2.3,NA,NA
"38138",66.5,9,4,2,8.35,17,10.2,2.9,2946,11810
"58003",96.3,12,6.5,3,5.2,14.1,9.6,3.3,2951,11810
"12096",74.4,9,5,3,6,16,10.4,2,3703,13345
"12147",64.5,9,4,2,7.5,14.8,9.55,3.9,3138,12100
"15166",111.05,11,6,4,7,15,10.1,2.2,3349,12638
"15083",98.1,11.5,6,4,3.7,16.4,9.4,2.8,3464,12519
"38523",80.4,9,5,3,7.3,15.3,11,0.9,3258,12251.5
"12130",89.55,10,5,3,6.6,17.5,10.1,2.2,3349,12638
"15207",52,8,3,1,3.5,15.6,3.6,1.05,3336,12135
"97411",128,12,6,4,17.5,25,20.75,3.3,4726,19659
"40184",40.85,7,2.5,1,9.6,18.1,12.7,1.3,3184,12763
"40040",75.3,10,5,2,6.9,20.2,11.2,1.2,2949,12075
"33329",66.05,10,4,2,7.4,18,12.4,2.4,3342,12753
"16384",61.5,10,4,2,7.8,17.65,11.4,2.2,3380,12747
"34235",52.5,3,3,2,8.3,17.4,9.6,5.3,3138,12100
"34178",37.3,5,2,1,9.95,19.6,11.1,3.1,4299,14539.5
"2B251",39.25,5,2,1,7.9,18.9,12.6,3.1,4020,14625
"4093",57.05,7,4,2,2.95,17.05,8.8,1.8,4490,16015
"66072",57.2,8,4,2,3.9,14.7,7.15,2.8,4173,15741
"30090",104.95,8,5,3,7.9,16.4,9.6,2.7,3865.5,13845
"7194",67.5,7,4,2,9.4,20.3,12.1,3.8,5775,23126
"7114",66,9,4,2,4.5,13,8.3,3.7,3090.5,12678
"7263",73.3,4.5,3.5,2,6.3,15.1,9.6,3.8,3297,12155
"34316",36,4,2,2,10.1,18.9,10.7,4.7,NA,NA
"34016",32.9,4,2,1,8.2,19.7,10.95,2.2,4104,14498
"34286",73.05,6,3,2,6.5,16.9,10.7,4.7,NA,NA
"34341",42.7,4,2,1,11.6,17.9,11.9,4.8,4104,14498
"4229",63.85,6,4,2,5.05,19.05,9.1,1.8,4433,13701
"11251",56.8,7,3,2,9.7,18.5,11.7,4.9,3389,14179
"34143",32,4,2,1,11.6,17.9,11.9,4.8,4104,14498
"7202",97.55,7,4,3,8.5,18.7,9.7,1.5,NA,NA
"7136",82.9,9,5,3,2.8,13.95,8.5,3.3,NA,NA
"6042",62.95,6,3,2,6,15,7.1,2,NA,NA
"6116",78.3,5.5,4,3,1.3,15.3,7.7,1.8,NA,NA
"2B049",63.6,6,3,2,10.7,20.3,11.9,3.7,4352.5,15088.5
"48119",67.05,8,4,2,6.2,14.1,8.5,3.3,NA,NA
"66179",66.7,7,4,2,7.4,17,9.65,1.8,NA,NA
"66016",30.95,4,2,1,12.3,17.95,12.3,8,4055,14416
"7045",94.55,8,4,3,7.2,16.4,9.7,3.6,NA,NA
"5033",63.8,7,4,2,5.1,18.6,8.7,2.4,3895,13933
"7153",103.9,8,5,3,7.4,19.6,9.5,1.7,3275,12558
"11265",69.65,9,5,2,4.5,14,8.5,2.7,4173,15741
"83007",44,5,3,2,7.25,18.7,11.3,2.3,NA,NA
"48022",72,8,4,2,8.2,20.2,8.8,4.2,3282,11861.5
"48097",116.25,7,4.5,3,7.8,15.85,9.2,3.4,NA,NA
"48186",72,8,4,2,8.2,20.2,8.8,4.2,NA,NA
"30062",41,4,2,1,9.7,20.4,12.3,2.5,4205,15149
"4039",64.5,7,4,2,4.45,19.3,7.75,1.6,NA,NA
"83114",46.95,5,3,2,6.35,20.1,10.7,2.3,4308,14970
"34169",44,5,2,1,9.9,19,10.9,2.2,4690,15794
"7147",97.55,7,4,3,8.5,18.7,9.7,1.5,NA,NA
"2A324",110.5,8,4.5,3.5,8.7,17.35,9.25,4.4,NA,NA
"2A139",55,6,3,1.5,12.1,20.6,12.2,3.1,4333,15127
"2B096",277,11,11,8,5.1,10.3,4.9,3.3,4052,14420
"2B080",39.7,6,3,1,9.1,18.1,10.9,2.6,NA,NA
"66207",46.8,5.5,2,1,8.8,19.5,10.95,2.6,2808,11152
"66056",29.15,5,2,1,8.8,19.5,10.95,2.6,2808,11152
"66088",22.35,4.5,1,1,9.2,20.1,11.2,3.1,2808,11152
"2B058",40.85,5,3,1,13.5,18.95,12.55,4.3,4212,14636
"34339",38.2,5,2,1,9.9,19.9,11,3.9,NA,NA
"83150",41.4,5,2,1,6.2,20.4,10.2,2.5,4602,16072
"2B185",41.15,5,2,1,10.6,20.4,12.3,2.3,4212,14636
"2B079",42.3,5,2,1,9.7,18.3,11.4,2.6,4212,14636
"2B110",45.6,6,2,1,6.4,20,10.9,1.7,4232,15515
"11097",50.35,7,3,1,8.2,19.4,10.6,3.3,3579,14012
"66004",48.2,8,4,1,1.5,12.3,6.9,3.6,4173,15741
"66021",27.8,4,2,1,10.2,19.3,12.1,3.4,4055,14416
"2B112",55.4,6,3,2,8.75,19,12.6,4.7,4352.5,15088.5
"11396",30.5,4,2,1,9.6,17.5,11.2,4.5,3965,14346.5
"11069",46.8,7,3,1,9.2,17.9,11.4,4.7,3476,13610
"4070",47.5,5,3,2,5.2,18.5,9.3,2.7,4529,14928
"34038",65.8,7,3,2,7.9,18.4,10.5,3.2,NA,NA
"48070",71,9,5,2,2.1,12.2,7.3,7,3281,12473
"13067",42.6,5,2,1,8.2,18.9,11.8,5.1,4448,15394
"13001",38.55,5,2.5,1,7.85,19.4,10.85,2,4650,15336
"11262",30.75,4,2,1,10.1,18.6,12.1,5.3,NA,NA
"34186",52.7,5,3,2,10.3,19.6,10.7,4.7,4299,14539.5
"11285",30.75,4,2,1,10.7,19.1,12.1,5.3,3965,14346.5
"34032",48.05,3,2.5,2,9.5,19.5,11.8,4,4299,14539.5
"7038",106.5,7,5,3,3.3,10.9,9.7,1.5,3275,12558
"48148",91.4,7,4,2,8.9,18.85,10.1,3.1,3865.5,13845
"66137",49.2,5,3,2,10.5,19.3,11,3.5,2808,11152
"34165",42.7,4,2,1,9.1,19.3,11.9,4.8,4104,14498
"66141",29.25,4,2,1,10.8,19.45,11.4,4.5,4099,14633.5
"66069",29.25,4,2,1,10.8,19.45,11.4,4.5,4099,14633.5
"83099",46.5,4,2,1,9.65,20.6,12.5,1.7,3757,13489.5
"34061",37.3,5,2,1,9.95,19.6,11.1,3.1,4299,14539.5
"66030",31.7,3,2,1,8.8,19.5,10.95,2.6,2808,11152
"66214",34.75,5,2,1,9.5,19.2,11.8,3.7,2808,11152
"66005",57.2,8,4,2,3.6,12.6,6.85,2.8,4173,15741
"66227",28.95,4,2,1,10.8,19.45,11.4,4.5,4099,14633.5
"11397",45.8,7,3,1,9.7,18.5,11.7,4.9,3476,13610
"66147",66.5,6,4,2,3.6,12.6,6.85,2.8,4173,15741
"4163",68.2,7,4,2,3.1,15.25,8.5,3.4,3410,12960
"4156",48.85,6,3,2,5.3,20.1,9.2,3.3,4529,14928
"13112",38.45,4,2,1,9.6,20.5,10.8,2.7,4653,15455
"5024",74.6,8,4,3,2.3,16.9,9.5,1.8,3396,11939
"7210",89.5,8,4,3,7.5,17.2,9.6,2.6,3297,12155
"2A004",52.05,6,3,2,10.9,21.5,12.9,3.2,4527,15479.5
"66150",75.5,7,4,3,3.9,11.4,7.05,3.1,3137,12269.5
"7266",81.05,8,4,3,6,15.9,9.7,1.5,NA,NA
"6057",58.4,5,3,2,9.4,16.9,9.4,1.4,NA,NA
"22233",59.75,11,4,1,7.3,16,11.5,5.5,2772,10874
"17110",53,9,4,2,7.3,17.9,11.4,1.3,3402.5,12764.5
"12275",76.95,7.5,4,2,7.5,14.8,10.5,3.2,3138,12100
"43220",57.5,9,3,2,2.5,13.5,8.3,3,3281,12473
"65066",64.2,9,4,2,4.85,21.4,9.15,1.8,3276,13039
"82038",68.3,9,4,2,7.8,18.9,11.1,2.3,3239.5,12941.5
"33230",53,9,4,2,7.4,18.6,11.4,1.3,3561,13736
"24263",69.3,9,5,2,9,20.6,11.1,2.4,3398,12700
"34305",116.05,10,6,4,7,15.3,10.9,4.2,3138,12100
"2B034",39.3,5,3,1,8.75,19,12.6,4.7,4352.5,15088.5
"2B350",46.5,5,3,1,9.7,18.3,12.8,2.7,4212,14636
"66048",30.95,4,2,1,12.3,17.95,12.3,8,4055,14416
"4023",61.3,7,4,2,2.95,17.05,8.7,1.2,4490,16015
"2B167",55.4,6,3,2,10.7,20.3,11.9,3.7,4352.5,15088.5
"30032",44.5,3,2,2,10.2,20.2,11.4,3.3,3442,6978
"34218",39.6,5,2,1,10.4,18.9,11,3.9,3138,12100
"2B123",38.5,5,2,1,11.4,19.7,12.6,3.1,4020,14625
"11122",41.35,6,3,1,9.9,19.4,11.8,5.6,3965,14346.5
"66186",28.95,4,2,1,10.2,19.3,12.1,3.4,4055,14416
"2B205",63.55,4.5,2,2,10.65,17,13.3,2.3,4212,14636
"34323",51.7,5,3,2,10.35,20.85,11,2.7,4299,14539.5
"30033",53,2,2,2,9.5,19.7,10.85,3.6,3851.5,14382.5
"34147",34.8,4,2,1,9.95,19.6,11.1,3.1,4299,14539.5
"2B337",38.75,5,2,1,16.95,33.65,11.4,2.6,4052,14420
"66205",31.7,3,2,1,8.55,17.65,10.5,2.1,3286,13667.5
"2B187",40.85,5,3,1,10.65,17,13.3,4.3,4212,14636
"2B143",41,5,2,1,13.5,19.9,13.3,3.6,4020,14625
"2B298",22.95,3,1.5,0.5,10.6,20.4,12.3,2.3,NA,NA
"34281",38.1,4,2,1,8.2,19.7,10.95,2.2,4120,14757
"7334",68,6,3,2,9,19.5,10.4,2.4,NA,NA
"34026",38.1,6,2,1,9.65,19.5,12.7,3.9,3965,14346.5
"66145",22.75,3,2,1,9.5,19.2,11.8,2.6,2808,11152
"2B188",41.15,5,2,1,10.6,20.4,12.3,2.3,4212,14636
"2B287",48.4,6,3,2,9.45,18.4,8.9,2.7,NA,NA
"66136",29.25,4,2,1,10.8,19.45,11.4,4.5,4099,14633.5
"13002",32.45,4,2,1,8,17.8,10.4,2.3,4663,16366
"2B184",40.85,5,3,1,13.5,18.95,12.55,4.3,4212,14636
"2B043",49.55,5,3,1,13.3,18.7,12.95,4.3,4212,14636
"11269",32.15,5,2,1,10.2,20.5,12.1,5.3,3965,14346.5
"34289",33.2,5,2,1,9.9,20.1,11.4,3,4120,14757
"34168",40.25,5,2,1,10.35,20.85,11,2.7,4299,14539.5
"6153",60.8,6,3,2,-0.6,4.1,4.6,2,NA,NA
"13065",39.7,4,2,1,9.1,20.2,11.8,2.4,NA,NA
"83140",46.7,4,2,1,6.8,19.5,10.05,2,NA,NA
"4217",66,6,4,2,4.8,19.3,9.4,1.8,4529,14928
"66080",30,3,2,1,1.3,11.3,5,3.4,3137,12269.5
"65352",67.8,9,4,2,8.2,18.9,10.1,2,3156,12814
"15251",81.1,11,5,3,3.7,13.8,8.3,2.1,3336,12135
"15149",90.4,10,6,3,4.5,12.9,8.6,4.7,3413.5,13734
"41018",52.8,9,4,2,7.05,17.4,12,3.7,2825,11408
"33095",66.05,10,4,2,7.4,18.75,11,2,3171,12582
"33212",60.5,9,4,2,9.35,19.55,11.9,2.4,3192,12037
"40046",61.2,10,4,2,9.35,16.9,12.05,3.9,3541.5,13327.5
"40244",94.65,11,6,3,8.9,19.1,12.2,1.9,3102,12495
"6074",63.4,5,3,2,6.9,19.8,7.8,2.3,NA,NA
"6082",62.95,6,3,2,6.8,16.55,7.1,2.9,NA,NA
"30105",92.6,9,5,3,3.7,13.15,8.4,3,NA,NA
"4097",58.1,7,4,2,5.2,18.5,9.3,2.7,4490,16015
"66190",27.8,4,2,1,17.5,25.2,12.1,3.4,4055,14416
"34158",53.2,7,3,2,10.4,19.5,12.7,4.2,3965,14346.5
"34045",51.7,5,3,2,10.35,20.85,11,2.7,4299,14539.5
"30091",46.85,5,3,1,9.7,20.4,12.3,2.5,4205,15149
"34170",32.15,5,2,1,10.2,20.5,11,3.9,3965,14346.5
"11296",33.05,5,2,1,9.65,19.5,12.7,3.9,3965,14346.5
"2B030",81.25,8,5.5,3,13.5,18.95,12.55,4.3,4212,14636
"2B183",40.85,5,3,1,13.5,18.95,12.55,4.3,4212,14636
"11351",36.25,6,2,1,10.3,19.6,11.8,5.6,3965,14346.5
"2B314",48.4,6,3,2,9.45,18.4,8.9,2.7,NA,NA
"34025",48.05,3,2.5,2,8.9,19.7,11,2.7,4299,14539.5
"2A272",48.2,6,3,2,12.3,19.8,12.4,2,4333,15127
"2A048",37.6,5,3,2,12.2,19.65,11.8,1.5,4527,15479.5
"2B037",40.7,4,2,1,10.65,17,12.8,2.7,4212,14636
"34302",36.4,6,2,1,10.4,19.5,12.7,4.2,3965,14346.5
"7322",102,8,4,3,6.2,14.1,9.7,1.7,3275,12558
"2B170",74.3,6,3,2,13.6,18.7,13.4,6.3,4212,14636
"2B316",42.1,5,2,1,13.7,19.2,12.6,4.7,4352.5,15088.5
"34113",42.7,4,2,1,11.6,17.9,11.9,4.8,4104,14498
"7003",94.25,8,4,3,6.85,18.2,9.6,5.6,NA,NA
"34123",46.45,6,3,2,9.9,19,12,2.6,4690,15794
"2A269",47.7,9,3,1,12.1,20.6,12.2,3.1,4020,14625
"2B283",47.7,9,3,1,11.4,19.7,12.6,3.1,4020,14625
"34116",46.45,6,3,2,9.9,19,10.9,2.2,4690,15794
"34074",33.7,4,2,1,10.4,18.9,11.1,3.1,NA,NA
"11260",53.7,7,3,2,7.8,16.3,10.5,4.1,3389,14179
"34313",38.65,5,2,1,9.7,20.6,11.4,3.55,4120,14757
"66108",32.35,5,2,1,8.8,19.5,10.95,2.6,2808,11152
"34226",39.6,5,2,1,10.2,20.5,11,3.9,NA,NA
"2A254",86.55,9.5,6,4,7.6,17.3,9.45,2.2,4020,14625
"34225",28.5,2,2,1,9.5,19.5,11.1,3.1,4299,14539.5
"6132",70.6,6.5,4,2,8.5,19.8,10.5,1.5,NA,NA
"6013",72,6,3,2,6.25,16.3,7.9,2.3,NA,NA
"48172",57.5,5,3,2,3.1,13.55,9.2,3.4,3865.5,13845
"34190",38.1,6,2,1,9.65,19.5,12.7,3.9,3965,14346.5
"12094",86.9,10,5,3,7.45,18.9,9.65,3.4,3345,11451
"12226",86.9,10,5,3,7.45,18.9,9.65,3.4,3345,11451
"39086",120.75,12,7,5,4.15,16.95,9.5,1.6,2290.5,9134.5
"81004",28.2,5.5,2.5,1,7.9,18.6,11.1,2.4,3511.5,13241.5
"79280",49.45,9,3,1,7.6,19.45,11,3,3155,12212
"73019",84.6,9,5,3,5.8,16.6,5,0.9,NA,NA
"54305",54.05,10,4,2,5.5,15,9.6,2.8,2514,10589
"54490",54.05,10,4,2,5.1,14,9.4,3.3,2514,10589
"79168",49.45,9,3,1,7.8,17.05,11.25,2.4,3503,12672
"45092",53.8,9,4,1,6.15,16.3,10.7,2.4,2682,10494
"35152",61,10,4,2,10.1,21.6,11.2,2.8,2804.5,11303.5
"3004",75.5,11,5,2,7.1,16.25,11.1,2.2,2879.5,11666
"73211",126.35,12,7.5,5,6.75,17.8,6.2,1.7,3535,14737
"97417",293,18,12,9,20,26.6,21.6,3.3,3125,15440
"45032",58.5,10,4,1,7.9,19.4,10.7,3.1,NA,NA
"3006",96.7,11,6,3,7.1,15.9,11.1,3.4,2879.5,11666
"3217",54.1,9,4,1,7.5,16.8,10.5,2,3155,13063
"33300",62,10,5,2,8.55,18.2,12,2.6,4574,18429
"33422",65.25,10,4,2,8.1,19.7,11.9,1.5,3746,13644
"33238",39.7,7,3,1,8.6,19.2,12.1,1.7,3598,13230
"33229",35.95,5.5,2.5,1,6.9,18.35,11.85,4.1,3456,13175
"33104",75.5,11.5,6,2,8.25,19.4,12.05,2.4,3414,12457
"40332",89.4,11,5,3,8.55,19.25,12.5,2.7,3526,13848
"40167",75.15,10,5,2.5,6.75,18.45,12.1,2.2,2852.5,10829
"40149",62.6,9,4,2,6.95,17.35,11,2,3171,12582
"41043",54,9,3.5,1,7.35,16.7,11.6,2.4,2752,11041
"41130",49.3,9,3,1,7,15.4,11.5,3.7,2825,11408
"41186",52.5,9,4,1,11.1,22.4,11.3,3.1,2696,12125
"41087",57.6,10,4,1,7.65,16.1,11.9,3.1,2696,12125
"42326",67.4,10,4,2,3.3,9.55,8.15,4.7,NA,NA
"11170",24.5,4,2,1,13.15,20.8,12.1,5.3,NA,NA
"2B320",41,5,2,1,13.5,19.9,13.3,3.6,4020,14625
"34319",40.25,5,2,1,10.35,20.85,11,2.7,4299,14539.5
"2B201",44.2,5,3,1,10.7,18.4,13.3,3.6,4232,15515
"7323",65.45,7,3,2,9.5,20.2,11.4,1.7,3142,12768
"11315",30.5,4,2,1,10.4,19.5,11.2,4.5,3965,14346.5
"11386",34.4,6,2,1,9.9,19.4,10.5,4.1,3389,14179
"11009",49.75,8,3,1,9.7,18.7,11.4,4.7,3476,13610
"7258",72,9,4,2,3.4,11.3,8.3,NA,NA,NA
"84129",51,5,3,2,9.3,20.8,11.2,3.9,4377,14986
"11259",60.8,8,4,2,9.7,18.7,11.4,4.7,3476,13610
"2B059",26.6,4,2,1,7.9,21.6,11.4,2.6,4052,14420
"26318",52.5,6,3,2,4.9,18.55,9.3,1.8,3691,13659
"34103",48.7,3,2,1,8.9,19.7,11,2.7,4299,14539.5
"34003",30.4,4,2,1,11.6,19.55,12.9,3.2,4530.5,15158.5
"34019",76.95,7.5,4,2,7.9,18.4,10.5,3.2,NA,NA
"34181",40.25,5,2,1,10.35,20.85,11,2.7,4299,14539.5
"2B095",57.3,7,3,2,6.55,17.55,9.2,4,4052,14420
"2B290",39.3,5,3,1,8.75,19,12.6,4.7,4352.5,15088.5
"2B361",55.4,6,3,2,10.7,20.3,11.9,3.7,4352.5,15088.5
"34237",34,5,2,1,8.9,19.7,11,2.7,4299,14539.5
"30231",102,7.5,5,3,4.6,12.9,8.5,6.4,NA,NA
"48122",72,8,4,2,8.2,20.2,8.8,4.2,3282,11861.5
"48074",67.7,9,4,2,4.6,13.8,8.9,2.4,NA,NA
"34242",62.5,5,3,2,8,19.8,10.9,2.2,4380,14835.5
"83061",61.8,4,2.5,2,10,17.1,10.35,3.2,4468,14991
"66076",40.2,6,3,1,9.7,19.4,10.8,4.6,3286,13667.5
"66215",29.65,5,2,1,7.85,20.55,10.25,1.8,3286,13667.5
"66058",32.35,5,2,1,8.8,19.5,10.95,2.6,2808,11152
"84147",45,3,2,2,6.6,19.75,10.7,2.4,4650,15336
"13005",52.6,9,3,1,8.6,20.7,11.2,2.5,NA,NA
"2A038",38.8,5,2,1,11.15,20.6,12.4,2,4333,15127
"34020",38.1,6,2,1,9.65,19.5,12.7,3.9,3965,14346.5
"2B341",132.1,8,7,4,7.7,16.3,9.7,2.9,4232,15515
"66008",33.2,3,2,1,12.3,17.95,12.3,8,4055,14416
"11198",30.5,4,2,1,9.6,17.5,11.2,4.5,3476,13610
"11022",36.4,6,2,1,10.4,19.5,12.7,5.6,3965,14346.5
"66127",33.4,5,2,1,9.9,19.8,11.5,3.5,4099,14633.5
"2B355",46.5,5,3,1,9.7,18.3,12.8,2.7,4212,14636
"11016",56.8,7,3,2,9.7,18.5,11.7,4.9,3389,14179
"66014",29.25,4,2,1,10.8,19.45,11.4,4.5,4099,14633.5
"30009",85.7,6,5,3,5.9,16.6,9.55,3,NA,NA
"11018",50.45,8,3,1,9.2,17.9,11.4,4.7,3476,13610
"6162",67,6,3,2,7.6,19.1,9.1,1.5,NA,NA
"11276",31.7,3,2,1,8.55,17.65,10.5,2.1,3286,13667.5
"7112",105.1,9,5,3,6.85,18.2,9.6,5.6,NA,NA
"2A031",120.5,7,5,4,8.4,16.5,9.4,2.3,NA,NA
"48116",57.5,5,3,2,3.1,13.55,8.8,4.2,NA,NA
"4194",64.85,6,3,2,7.3,20,10.1,1,4156.5,14931
"6103",72,6,3,2,5.1,17.6,7.9,2.3,NA,NA
"7286",86.5,7,4,3,6.6,15.2,9.15,2.6,3297,12155
"6023",61.15,6,3,2,8.5,19.8,10.5,1.5,NA,NA
"26113",64.9,7,4,2,5.4,18.5,9.9,1.5,3519,12971
"12163",106.3,10,6,4,5.7,16.6,9.3,5.3,3138,12100
"12082",68.45,7,4,2,5.7,15.7,9.55,3.9,NA,NA
"12076",71.25,9.5,5,2,5.4,14.6,9.65,3.4,3345,11451
"46183",68.2,9,4,2,5.8,18.8,10.4,3.1,3493,13687
"18219",62,10,4,2,7.7,16.7,10.9,0.4,2061.5,9635
"81066",71.6,9,4,2,5.7,14,10.05,4.4,3575,13240
"58081",69.7,10,4,2,6.35,16.1,10.7,2.6,2877,12180
"17038",53,9,4,2,7.3,17.9,11.4,1.3,NA,NA
"17074",68.75,10,5,2,9.1,18.8,11.8,1.3,3273.5,11612.5
"47234",59.65,9,4,2,9.5,19.5,11.6,2.4,3234,13215
"33273",65.25,10,4,2,8.25,19.4,11.9,1.5,3746,13644
"2B281",81.25,8,5.5,3,13.3,18.7,12.95,4.3,4212,14636
"2B109",63.55,4.5,2,2,10.65,17,13.3,2.3,4212,14636
"6142",50.4,5,3,2,7.8,17.55,9.6,1.7,NA,NA
"48166",65.95,7,4,2,5.6,14.35,8.8,4.2,NA,NA
"48194",99.5,8,5,3,7.9,16.4,8.5,3.3,3865.5,13845
"84034",45.05,5,2,1,9.2,19.1,10.8,3,4448,15394
"6098",64.85,6,3,2,7.2,18.3,10.1,2.4,4156.5,14931
"2B159",40.2,4,2,1,13.5,18.95,12.55,4.3,4212,14636
"2B313",46.8,6,3,1,9.45,20.75,13.3,3.6,4212,14636
"34004",38.2,5,2,1,9.9,19.9,11,3.9,3965,14346.5
"34166",27.95,4,2,1,10.3,19.9,11.8,4,4120,14757
"66143",39.4,6,2,1,18.15,32.7,10.85,3.7,3286,13667.5
"66140",30,5,2,1,8.8,19.5,10.95,2.6,2808,11152
"11308",49.75,8,3,1,9.7,18.7,11.4,4.7,3476,13610
"11273",33.05,5,2,1,9.65,19.5,12.7,5.6,3965,14346.5
"11099",46.8,7,3,1,9.2,17.9,11.4,4.7,3476,13610
"83069",44,5,2,1,10.1,20.8,13.15,1.1,4166,15036
"83064",68.9,6,3,2,8.8,19.8,12.1,1.1,4166,15036
"13026",34.25,4,2,1,10.3,19.4,11.4,4.7,4653,15455
"13056",15.5,3.5,1.5,0.5,11.1,18.8,12.4,6,4653,15455
"66180",29.5,4,2,1,10.2,19.3,12.1,3.4,4055,14416
"66071",31.7,3,2,1,8.8,19.5,10.95,2.6,2808,11152
"11144",22.9,4,1,1,17.5,25.2,12.5,6.5,4055,14416
"48004",67.05,8,4,2,6.2,14.1,8.5,3.3,NA,NA
"34145",51.85,4,2,2,9.7,20.4,12.3,2.5,4205,15149
"34163",46.45,6,3,2,9.1,19.3,10.8,2.4,4690,15794
"11390",37.5,5,2,1,10.3,19.6,11.8,5.6,3965,14346.5
"34148",43,4,2,1,9.5,19.5,11.1,3.1,4299,14539.5
"2B009",38,5,2,1,13.5,19.9,13.3,3.6,4020,14625
"66106",66.5,5,3,2,10.5,19.3,11,3.5,2808,11152
"30181",57.3,5,3,2,7.1,19.6,11.1,2.5,NA,NA
"30141",46.45,5.5,3,1,9.85,20.1,11.1,4.8,4164,14547
"11162",60,8,4,2,11.1,23.8,11.9,3.7,3652,14069
"34285",39.45,4,2,1,9.9,20.1,11.4,3,4120,14757
"66164",29.25,4,2,1,10.8,19.45,11.4,4.5,4099,14633.5
"66212",27.8,4,2,1,10.2,19.3,12.1,3.4,4055,14416
"11148",33.65,5,2,1,10.3,19.6,11.8,5.6,3965,14346.5
"11361",55.8,8,4,2,9.2,17.2,11.9,3.7,3652,14069
"13118",38.45,4,2,1,7.2,19.6,10.8,2.7,4653,15455
"13097",39.7,4,2,1,9.65,19.95,11.1,5.1,4579.5,15856.5
"2B105",33.9,6,2,1,6.4,20,10.9,1.7,4232,15515
"2B238",45.6,6,2,1,6.4,20,10.9,1.7,4232,15515
"2B148",40.7,4,2,1,10.5,19.5,12.8,2.7,4212,14636
"2B116",33.9,6,2,1,10.7,18.4,10.9,1.7,4232,15515
"84030",43.6,5,2,1,7.9,20.1,10.6,2.4,4530,15051.5
"34073",27.95,4,2,1,10.3,19.9,11.8,4,4120,14757
"11286",30.5,4,2,1,9.6,17.5,11.2,4.5,3965,14346.5
"11410",46.8,7,3,1,9.6,17.5,11.2,4.5,3476,13610
"34291",98.2,10,5,3,4.65,13.3,9.3,5,3138,12100
"2B299",57.35,6,3,2,9.45,20.75,12.8,2.7,4212,14636
"34055",85.4,9,4,2,8.3,17.4,9.6,5.3,3138,12100
"2B140",48.4,6,3,2,7.9,21.6,11.4,2.6,NA,NA
"7018",106.5,7,5,3,2.8,13.95,8,4.2,3275,12558
"66192",56,7,3.5,2,1.3,11.3,6.9,3.6,4173,15741
"5164",50.9,5,2,1,4.7,16.2,7.5,2.5,4194,15022.5
"4193",55.5,7,4,2,-2.9,5,4.2,2.7,4194,15022.5
"30154",84.2,7,4,2,7.4,18,9.3,3,NA,NA
"30169",53,2,2,2,9.9,19.3,11,4,3851.5,14382.5
"6049",66.1,6,3,2,7.3,15.2,8.5,1.3,NA,NA
"43171",53,10,4,1,2.5,13.5,8.3,3,3281,12473
"73235",63.95,8,4,2,11,21.7,9.1,1.3,NA,NA
"12168",65.4,8,4,2,5.4,14.4,9.55,3.9,3450,12407
"43155",53,10,4,1,2.5,13.5,8.3,3,3281,12473
"81163",94.15,10,5.5,3,5.7,14,10.05,4.4,3575,13240
"16061",65.65,10,5,2,8.9,18.3,11.1,3.2,3168,11759.5
"16255",71.5,10,5,2,6.8,17.2,10.9,3.3,3172,12159
"45015",51.5,9,3,1,6.7,16.1,10.8,2,2434,10303
"97410",410.1,16,11,9,12.5,21.2,16.7,1.8,2773,14706
"31573",44.5,7.5,3,1,8.2,20.5,13,1.9,3455,13217
"31085",106.45,7.5,6,4,6.6,17.8,9.9,1.6,3285,12622
"31222",77.2,9,5,2,5.45,17.9,9.9,1.6,3285,12622
"15156",103.4,11,6,3,5.1,14.8,9.4,2.8,3464,12519
"15113",106,10.5,7,3,2.2,10.2,7.6,4.4,3288,12611
"97415",45.45,7,2,1,11.45,20,14.7,2,1778,11196.5
"24465",63.5,10,4,2,7.3,17.8,12,1.2,3260,12445
"65045",80.45,11,5,3,5.8,14.2,10.1,2,NA,NA
"2A019",70.5,7,4,2,12.2,19.65,11.8,1.5,4527,15479.5
"6146",62.95,6,3,2,8.4,16.5,10,3.95,NA,NA
"2A041",35.3,5,2,1,12.9,18.05,14.1,7.1,4333,15127
"6077",73.35,6,4,2,5.1,12.5,7.8,2.3,NA,NA
"5038",68.45,8,4,2,-0.6,10.8,5.7,1.4,3419,13859
"26354",89.9,9,5,3,3.9,16.35,9.05,2.4,3506,13009
"7141",81.3,7,4,3,8,14.9,9,5.6,3968,13651
"48165",94.3,9,6,4,3,12.4,8.2,3.7,4299,14771
"48020",80.55,8,4,2,4.6,12.9,8.5,6.4,NA,NA
"30190",103.5,7,4,3,8.7,17.9,9.3,1.6,NA,NA
